gene_id,SRR18885340,SRR18885341,SRR18885342,SRR18885343,SRR18885344,SRR18885345,SRR18885346,SRR18885347,SRR18885348,SRR18885349,SRR18885350,SRR18885351
ENSG00000197785.14|ATAD3A,2668,5217,4163,3889,3431,4102,4014,3628,3424,4327,4709,3538
ENSG00000205090.9|TMEM240,18,45,44,56,47,55,28,26,35,26,20,9
ENSG00000160075.12|SSU72,8139,9653,9071,8574,10961,9479,8730,9374,6679,4808,7597,5450
ENSG00000215014.5|ENSG00000215014,10,15,5,23,9,7,27,6,10,10,8,11
ENSG00000228594.4|FNDC10,556,960,577,601,701,633,592,673,803,778,699,605
ENSG00000286989.1|ENSG00000286989,7,10,14,11,31,12,14,36,20,27,33,5
ENSG00000197530.13|MIB2,1238,1470,1366,1436,1922,1515,1492,1697,1737,1431,1701,1555
ENSG00000272106.1|ENSG00000272106,102,173,120,164,142,175,114,131,142,98,83,110
ENSG00000189409.14|MMP23B,27,15,0,12,35,12,8,18,17,19,35,21
ENSG00000248333.9|CDK11B,4902,5583,5412,4916,6143,5096,4555,4895,5559,4741,6179,4867
ENSG00000227775.3|ENSG00000227775,0,1,0,6,0,1,1,18,4,6,0,5
ENSG00000272004.1|ENSG00000272004,8,0,0,8,0,6,0,6,4,0,7,8
ENSG00000189339.12|SLC35E2B,4787,4943,4583,4828,6157,4239,4254,5029,5897,4852,5058,4778
ENSG00000269737.2|ENSG00000269737,40,90,76,83,79,54,50,58,48,40,64,78
ENSG00000215914.4|MMP23A,10,11,0,11,24,10,6,8,10,13,16,6
ENSG00000008128.23|CDK11A,2843,3432,3073,2824,3681,2965,2866,2851,3135,3000,3491,2832
ENSG00000268575.1|ENSG00000268575,500,686,390,490,663,734,475,658,863,523,806,704
ENSG00000290854.1|ENSG00000290854,696,657,654,645,1016,749,598,849,917,698,823,819
ENSG00000215790.9|SLC35E2A,8,68,5,7,8,9,6,18,7,7,7,7
ENSG00000008130.15|NADK,4573,6788,5171,5361,6415,5918,5379,5824,5406,5391,5971,4871
ENSG00000078369.19|GNB1,32319,36636,34981,32291,40307,31731,31645,33736,35513,31949,35817,31444
ENSG00000231050.3|GNB1-DT,0,0,12,6,7,7,23,9,9,10,7,5
ENSG00000169885.10|CALML6,5,0,0,0,4,7,10,13,8,0,0,0
ENSG00000178821.13|TMEM52,31,38,34,25,44,12,14,18,29,0,36,8
ENSG00000142609.20|CFAP74,0,0,0,0,0,3,0,6,14,10,0,2
ENSG00000187730.9|GABRD,53,31,20,37,76,4,23,0,108,41,20,32
ENSG00000067606.17|PRKCZ,1471,1644,1676,1580,1906,1605,1878,1705,2268,1894,2112,1877
ENSG00000182873.5|PRKCZ-AS1,32,62,61,61,70,94,110,47,80,42,70,28
ENSG00000271806.1|ENSG00000271806,11,2,0,3,16,14,4,0,8,7,5,10
ENSG00000162585.17|FAAP20,1322,1383,1261,1238,1492,1451,1223,1253,1546,1353,1507,1198
ENSG00000234396.3|ENSG00000234396,3,5,0,3,11,2,7,5,9,0,4,4
ENSG00000157933.11|SKI,4889,5545,4735,4593,5698,5253,4359,5177,3632,3991,4522,3265
ENSG00000287356.1|ENSG00000287356,77,94,137,59,175,96,116,93,90,64,103,74
ENSG00000272161.1|ENSG00000272161,0,0,3,9,3,3,0,9,0,3,2,4
ENSG00000157911.11|PEX10,1887,2440,1787,1941,2027,2032,1922,1993,1611,1601,1788,1399
ENSG00000116151.14|MORN1,306,322,324,278,523,481,414,461,363,293,434,338
ENSG00000269896.2|ENSG00000269896,59,63,81,72,146,162,119,171,117,126,107,159
ENSG00000272420.1|ENSG00000272420,6,8,4,9,12,28,10,14,18,3,13,6
ENSG00000157916.20|RER1,7986,9581,9364,8387,10814,8299,8833,9242,6010,4964,7710,5604
ENSG00000149527.18|PLCH2,14,33,43,36,17,10,25,38,68,100,147,68
ENSG00000224387.1|ENSG00000224387,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000229393.1|ENSG00000229393,0,0,0,0,2,0,0,0,0,1,0,2
ENSG00000157881.16|PANK4,821,783,772,858,881,695,743,709,886,789,912,771
ENSG00000197921.6|HES5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000272449.3|ENSG00000272449,37,39,29,35,43,33,22,32,36,14,19,23
ENSG00000238164.6|TNFRSF14-AS1,0,2,0,5,4,0,0,0,0,0,0,0
ENSG00000157873.18|TNFRSF14,6,0,9,0,7,4,7,13,3,2,5,9
ENSG00000228037.1|ENSG00000228037,3,0,0,0,0,0,0,0,0,0,0,0
ENSG00000289610.2|ENSG00000289610,1,0,0,0,2,8,1,0,0,2,0,0
ENSG00000157870.17|PRXL2B,914,1432,1094,1132,1185,1192,995,1186,1296,1381,1556,1246
ENSG00000142606.16|MMEL1,2,0,0,0,0,0,0,0,3,0,0,0
ENSG00000237058.1|MMEL1-AS1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000215912.13|TTC34,8,3,5,21,7,23,11,21,12,14,21,16
ENSG00000285945.1|ENSG00000285945,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283259.1|ENSG00000283259,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000287396.1|ENSG00000287396,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231630.1|ENSG00000231630,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000177133.14|PRDM16-DT,0,3,0,0,4,11,10,8,4,12,5,0
ENSG00000142611.17|PRDM16,78,80,80,60,73,100,50,104,88,114,35,107
ENSG00000283572.1|MIR4251,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000226286.1|ENSG00000226286,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279839.1|ENSG00000279839,0,4,0,0,3,0,0,0,0,0,0,0
ENSG00000272235.1|ENSG00000272235,0,0,0,0,0,0,0,0,0,0,0,0
